Anio;Operacion;Valor_Real;Valor_Aprox;Error_Absoluto;Error_Relativo(%);Error_Propagado_Absoluto
2022;Representacion_Ene;822.05;822.0;0.05;0.0061;-
2022;Representacion_Feb;807.07;807.0;0.07;0.0087;-
2022;Representacion_Mar;799.19;799.0;0.19;0.0238;-
2022;Representacion_Abr;815.12;815.0;0.12;0.0147;-
2022;Representacion_May;849.39;849.0;0.39;0.0459;-
2022;Representacion_Jun;857.77;858.0;0.23;0.0268;-
2022;Representacion_Jul;953.71;954.0;0.29;0.0304;-
2022;Representacion_Ago;904.35;904.0;0.35;0.0387;-
2022;Representacion_Sep;921.01;921.0;0.01;0.0011;-
2022;Representacion_Oct;955.89;956.0;0.11;0.0115;-
2022;Representacion_Nov;917.05;917.0;0.05;0.0055;-
2022;Representacion_Dic;875.66;876.0;0.34;0.0388;-
2022;Variacion_Ene_Dic;53.61;54.0;0.39;0.7275;0.39
2023;Representacion_Ene;826.34;826.0;0.34;0.0411;-
2023;Representacion_Feb;798.26;798.0;0.26;0.0326;-
2023;Representacion_Mar;809.5;810.0;0.5;0.0618;-
2023;Representacion_Abr;803.84;804.0;0.16;0.0199;-
2023;Representacion_May;798.64;799.0;0.36;0.0451;-
2023;Representacion_Jun;799.87;800.0;0.13;0.0163;-
2023;Representacion_Jul;813.4;813.0;0.4;0.0492;-
2023;Representacion_Ago;855.66;856.0;0.34;0.0397;-
2023;Representacion_Sep;884.4;884.0;0.4;0.0452;-
2023;Representacion_Oct;926.35;926.0;0.35;0.0378;-
2023;Representacion_Nov;886.61;887.0;0.39;0.044;-
2023;Representacion_Dic;874.67;875.0;0.33;0.0377;-
2023;Variacion_Ene_Dic;48.33;49.0;0.67;1.3863;0.67
2024;Representacion_Ene;907.99;908.0;0.01;0.0011;-
2024;Representacion_Feb;963.44;963.0;0.44;0.0457;-
2024;Representacion_Mar;967.93;968.0;0.07;0.0072;-
2024;Representacion_Abr;960.14;960.0;0.14;0.0146;-
2024;Representacion_May;917.88;918.0;0.12;0.0131;-
2024;Representacion_Jun;926.08;926.0;0.08;0.0086;-
2024;Representacion_Jul;937.56;938.0;0.44;0.0469;-
2024;Representacion_Ago;929.9;930.0;0.1;0.0108;-
2024;Representacion_Sep;926.21;926.0;0.21;0.0227;-
2024;Representacion_Oct;933.81;934.0;0.19;0.0203;-
2024;Representacion_Nov;971.6;972.0;0.4;0.0412;-
2024;Representacion_Dic;982.3;982.0;0.3;0.0305;-
2024;Variacion_Ene_Dic;74.31;74.0;0.31;0.4172;0.31
2025;Representacion_Ene;1000.76;1000.0;0.76;0.0759;-
2025;Representacion_Feb;956.62;957.0;0.38;0.0397;-
2025;Representacion_Mar;932.55;933.0;0.45;0.0483;-
2025;Representacion_Abr;961.96;962.0;0.04;0.0042;-
2025;Representacion_May;941.01;941.0;0.01;0.0011;-
2025;Representacion_Jun;938.04;938.0;0.04;0.0043;-
2025;Representacion_Jul;951.55;952.0;0.45;0.0473;-
2025;Representacion_Ago;966.3;966.0;0.3;0.031;-
2025;Representacion_Sep;960.37;960.0;0.37;0.0385;-
2025;Representacion_Oct;953.97;954.0;0.03;0.0031;-
2025;Representacion_Nov;935.7;936.0;0.3;0.0321;-
2025;Representacion_Dic;916.16;916.0;0.16;0.0175;-
2025;Variacion_Ene_Dic;-84.6;-84.0;0.6;-0.7092;0.92
